University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Temple University,public,0.642715652,0.942137605,76.24844333,2015,20,21,27
Ohio University-Main Campus,public,0.581833395,0.942020974,72.59084268,2015,42,46,28
California Polytechnic State University-San Luis Obispo,public,0.468185011,0.940803708,65.72324895,2015,78,82,29
Texas A & M International University,public,0.666317805,0.939974545,77.57805011,2015,11,16,30
Kansas State University,public,0.590473129,0.939745453,73.01820585,2015,38,43,31
James Madison University,public,0.749925323,0.939586065,82.57896199,2015,7,5,32
University of Illinois at Chicago,public,0.758753288,0.93924761,83.0951017,2015,5,4,33
Florida International University,public,0.668902314,0.937107169,77.6184256,2015,10,15,34
Rutgers University-New Brunswick,public,0.688812526,0.936370846,78.78358539,2015,9,8,35
Truman State University,public,0.581900682,0.936335124,72.36744587,2015,43,45,36
University of Mississippi,public,0.612669334,0.935775028,74.19116114,2015,30,35,37
SUNY at Binghamton,public,0.566931424,0.935142597,71.42158935,2015,47,52,38
Michigan Technological University,public,0.334862019,0.934556697,57.47398905,2015,91,91,39
University of Nebraska-Lincoln,public,0.425259451,0.934521025,62.89640808,2015,87,87,40
New Mexico Institute of Mining and Technology,public,0.21031053,0.9331828,49.94594381,2015,98,98,41
SUNY College of Environmental Science and Forestry,public,0.337417904,0.931296286,57.49692565,2015,90,90,42
Oregon State University,public,0.543300175,0.93081677,69.8306813,2015,53,57,43
South Dakota School of Mines and Technology,public,0.269396714,0.928630951,53.30904089,2015,95,95,44
University of Wyoming,public,0.513902402,0.928300131,67.96614937,2015,64,65,45
University of Michigan-Ann Arbor,public,0.531484845,0.928193133,69.01681603,2015,59,61,46
University of Connecticut,public,0.60746633,0.928180658,73.5752061,2015,34,38,47
Georgia Institute of Technology-Main Campus,public,0.285330163,0.92679259,54.19151337,2015,94,94,48
University of Utah,public,0.491064276,0.926207878,66.51217169,2015,70,74,49
Colorado State University-Fort Collins,public,0.633784968,0.925786217,75.05854675,2015,28,25,50
University of New Hampshire-Main Campus,public,0.642809088,0.924736412,75.55800177,2015,25,20,51
University of Kansas,public,0.64912036,0.923265435,75.87783896,2015,23,18,52
University of Central Florida,public,0.522743722,0.921837387,68.23811882,2015,62,63,53
The University of Texas at Dallas,public,0.315217133,0.921265536,55.76364943,2015,92,93,54
Iowa State University,public,0.488451154,0.921249684,66.15705659,2015,73,75,55
University of Colorado Boulder,public,0.510574798,0.919251526,67.40454894,2015,67,66,56
Clemson University,public,0.44292112,0.917847851,63.28918125,2015,86,86,57
Louisiana Tech University,public,0.576852611,0.917222734,71.30006598,2015,48,48,58
West Virginia University,public,0.569775176,0.916769175,70.85727751,2015,49,50,59
University of Washington-Seattle Campus,public,0.611851854,0.910881075,73.14635423,2015,37,36,60
Louisiana State University and Agricultural & Mechanical College,public,0.45762151,0.910617577,63.88199367,2015,84,84,61
Virginia Military Institute,public,0.229313193,0.909285863,50.13022607,2015,97,97,62
